Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Wed Dec 15 16:05:11 UTC 2021,-110,-18,-71,0,0,0,2944844,7.69640822018939
Wed Dec 15 16:05:14 UTC 2021,-110,-18,-70,0,0,0,6162548,8.68892640968706
Wed Dec 15 16:05:17 UTC 2021,-110,-18,-72,0,0,0,9488108,8.83400544400139
Wed Dec 15 16:05:20 UTC 2021,-110,-18,-74,0,0,0,12743262,8.83226354713782
Wed Dec 15 16:05:23 UTC 2021,-110,-18,-71,0,0,0,15483104,7.4396706307254
Wed Dec 15 16:05:26 UTC 2021,-110,-18,-70,0,0,0,18567486,8.29763484548014
Wed Dec 15 16:05:29 UTC 2021,-110,-17,-73,0,0,0,21284858,7.24162907894259
Wed Dec 15 16:05:32 UTC 2021,-109,-17,-67,0,0,0,23991744,7.41374815907759
Wed Dec 15 16:05:35 UTC 2021,-111,-18,-74,0,0,0,26569802,7.01672784782967
Wed Dec 15 16:05:38 UTC 2021,-109,-16,-73,0,0,0,27916504,3.69562062231591
Wed Dec 15 16:05:41 UTC 2021,-117,-20,-70,0,0,0,28975590,2.8534087650304
Wed Dec 15 16:05:44 UTC 2021,-105,-12,-75,-105,-12,-93,29937306,2.63739131934895
Wed Dec 15 16:05:47 UTC 2021,-106,-13,-76,-105,-12,-93,31125220,3.22577466937041
Wed Dec 15 16:05:50 UTC 2021,-105,-12,-75,-105,-12,-92,32203780,2.86203561383473
Wed Dec 15 16:05:53 UTC 2021,-106,-12,-76,-103,-11,-92,33490562,3.50310433121688
Wed Dec 15 16:05:56 UTC 2021,-105,-13,-73,-106,-14,-92,34506206,2.61065255093802
Wed Dec 15 16:05:59 UTC 2021,-103,-12,-74,-104,-13,-90,36040158,4.17646161283804
Wed Dec 15 16:06:02 UTC 2021,-102,-11,-76,-103,-13,-90,37463258,3.87968990943869
Wed Dec 15 16:06:05 UTC 2021,-102,-11,-74,-101,-12,-89,39831596,6.39524424615933
Wed Dec 15 16:06:08 UTC 2021,-99,-12,-69,-98,-12,-86,42951930,8.51415222164042
Wed Dec 15 16:06:11 UTC 2021,-98,-12,-65,-100,-14,-86,45565940,7.10310739920038
Wed Dec 15 16:06:14 UTC 2021,-97,-12,-67,-93,-12,-81,48930448,9.13683420448706
Wed Dec 15 16:06:17 UTC 2021,-98,-12,-67,-91,-11,-81,52273984,9.09939411312012
Wed Dec 15 16:06:20 UTC 2021,-98,-13,-67,-95,-13,-82,56051940,10.2792046942209
Wed Dec 15 16:06:22 UTC 2021,-90,-10,-60,-89,-11,-78,60706226,12.3512326613647
Wed Dec 15 16:06:26 UTC 2021,-94,-11,-63,-90,-11,-79,69984838,25.2820702121189
Wed Dec 15 16:06:28 UTC 2021,-94,-13,-63,-91,-14,-77,77202202,19.1580301829271
Wed Dec 15 16:06:31 UTC 2021,-92,-15,-57,-86,-11,-74,85892100,23.2970435786788
Wed Dec 15 16:06:34 UTC 2021,-91,-13,-60,-89,-11,-78,94635926,23.5329052709616
Wed Dec 15 16:06:37 UTC 2021,-90,-12,-56,-97,-20,-75,102483948,21.3956892773512
Wed Dec 15 16:06:40 UTC 2021,-92,-12,-64,-88,-13,-75,111776042,24.3323058645186
Wed Dec 15 16:06:43 UTC 2021,-90,-12,-60,-91,-16,-75,123011042,30.6149478551772
Wed Dec 15 16:06:46 UTC 2021,-84,-11,-51,-89,-15,-73,134827266,32.1877186269321
Wed Dec 15 16:06:49 UTC 2021,-87,-14,-55,-84,-15,-69,147773042,35.4088189487002
Wed Dec 15 16:06:52 UTC 2021,-87,-13,-57,-86,-12,-73,160193713,33.4236771774111
Wed Dec 15 16:06:55 UTC 2021,-87,-11,-52,-84,-10,-73,173416559,35.7910932679574
Wed Dec 15 16:06:58 UTC 2021,-79,-11,-49,-77,-13,-63,189239933,43.3440752575337
Wed Dec 15 16:07:01 UTC 2021,-84,-13,-52,-78,-13,-64,204023695,38.8631729558422
Wed Dec 15 16:07:04 UTC 2021,-85,-14,-54,-75,-11,-64,220922633,45.8297499103964
Wed Dec 15 16:07:07 UTC 2021,-85,-14,-54,-76,-12,-64,237812583,44.8137603326998
Wed Dec 15 16:07:10 UTC 2021,-84,-14,-51,-76,-11,-64,252818049,40.7939559091586
Wed Dec 15 16:07:13 UTC 2021,-84,-13,-53,-77,-11,-66,265967493,35.375865736876
