Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Mon Mar 07 18:50:39 UTC 2022,-103,-16,-68,-119,-20,-96,252814986,10.8400396524422
Mon Mar 07 18:50:42 UTC 2022,-102,-15,-71,0,0,0,256885052,11.0838317788846
Mon Mar 07 18:50:45 UTC 2022,-102,-15,-69,-112,-15,-96,260764872,10.3274845354167
Mon Mar 07 18:50:48 UTC 2022,-102,-15,-69,-115,-18,-97,265327780,12.2598686915115
Mon Mar 07 18:50:51 UTC 2022,-102,-16,-70,-117,-20,-97,269715422,11.8172138131056
Mon Mar 07 18:50:54 UTC 2022,-102,-16,-69,-112,-16,-96,273634190,10.6123931321308
Mon Mar 07 18:50:57 UTC 2022,-102,-15,-67,-118,-20,-97,277960414,11.7646331350248
Mon Mar 07 18:51:00 UTC 2022,-102,-15,-71,-118,-20,-97,281602052,9.48424400958156
Mon Mar 07 18:51:03 UTC 2022,-103,-15,-70,-114,-18,-96,284962066,9.0615987290719
Mon Mar 07 18:51:06 UTC 2022,-102,-15,-69,-118,-20,-98,288633664,9.91559765545283
Mon Mar 07 18:51:09 UTC 2022,-102,-16,-68,-116,-18,-98,292287286,9.8180424022867
Mon Mar 07 18:51:12 UTC 2022,-103,-17,-68,-117,-19,-97,296629988,11.350244428085
Mon Mar 07 18:51:15 UTC 2022,-103,-16,-69,-115,-17,-97,300482844,10.5928258241635
Mon Mar 07 18:51:18 UTC 2022,-102,-16,-70,-114,-16,-97,305039760,12.4674264610627
Mon Mar 07 18:51:21 UTC 2022,-102,-16,-69,-113,-16,-97,309286590,11.5502913195873
Mon Mar 07 18:51:24 UTC 2022,-102,-15,-69,-113,-16,-96,313743140,12.1351103796586
Mon Mar 07 18:51:27 UTC 2022,-101,-15,-69,-114,-16,-97,318171228,11.4761274467528
Mon Mar 07 18:51:30 UTC 2022,-102,-16,-69,-111,-15,-96,322283238,11.2298118269357
Mon Mar 07 18:51:33 UTC 2022,-102,-16,-69,-112,-16,-96,326459662,11.2866285554573
Mon Mar 07 18:51:36 UTC 2022,-102,-17,-68,-117,-19,-97,330953662,12.2795515615019
Mon Mar 07 18:51:39 UTC 2022,-102,-16,-70,-116,-18,-98,334894900,10.2399279751219
Mon Mar 07 18:51:42 UTC 2022,-101,-16,-68,-118,-20,-97,338584474,9.89265718988487
Mon Mar 07 18:51:45 UTC 2022,-101,-15,-67,-116,-19,-97,342647050,10.9375840595449
Mon Mar 07 18:51:48 UTC 2022,-101,-15,-69,-117,-20,-97,346526870,10.5822328665455
Mon Mar 07 18:51:50 UTC 2022,-102,-16,-68,-113,-16,-97,350602928,11.0264634498572
Mon Mar 07 18:51:53 UTC 2022,-101,-15,-69,-113,-16,-97,354728420,11.1272731024288
Mon Mar 07 18:51:57 UTC 2022,-101,-16,-67,-123,-20,-98,359545988,12.922185881429
Mon Mar 07 18:52:00 UTC 2022,-102,-16,-68,-115,-19,-96,364050474,11.4715259262634
Mon Mar 07 18:52:03 UTC 2022,-101,-15,-68,-110,-14,-96,368790146,12.9343379513466
Mon Mar 07 18:52:05 UTC 2022,-102,-15,-69,-116,-19,-97,372870698,11.0653053621114
Mon Mar 07 18:52:08 UTC 2022,-102,-16,-71,-115,-18,-96,376268162,9.17404675271535
Mon Mar 07 18:52:11 UTC 2022,-101,-14,-70,-113,-16,-97,380219886,10.6048596681591
Mon Mar 07 18:52:14 UTC 2022,-101,-14,-69,-113,-16,-96,384134160,10.5054108693737
Mon Mar 07 18:52:17 UTC 2022,-101,-14,-69,-116,-18,-97,387754826,9.75019973578955
Mon Mar 07 18:52:20 UTC 2022,-101,-14,-68,-115,-17,-97,391758980,10.881567119763
Mon Mar 07 18:52:23 UTC 2022,-101,-15,-69,-115,-18,-97,394930246,8.41853344771151
Mon Mar 07 18:52:26 UTC 2022,-101,-15,-68,-129,-20,-98,398043090,8.45388996788684
Mon Mar 07 18:52:29 UTC 2022,-102,-15,-70,0,0,0,399714858,4.4956583797932
Mon Mar 07 18:52:32 UTC 2022,-101,-14,-70,0,0,0,401720680,5.4074646550412
Mon Mar 07 18:52:35 UTC 2022,-101,-14,-70,0,0,0,403996142,6.15769433212412
Mon Mar 07 18:52:38 UTC 2022,-101,-15,-70,0,0,0,406505292,6.42545099847387
Mon Mar 07 18:52:41 UTC 2022,-102,-15,-69,0,0,0,408600994,5.68702568268065
Mon Mar 07 18:52:44 UTC 2022,-102,-15,-68,-112,-16,-96,411173060,6.99592077327765
Mon Mar 07 18:52:47 UTC 2022,-102,-15,-70,-109,-13,-95,416189862,13.586833056466
Mon Mar 07 18:52:50 UTC 2022,-102,-15,-69,-112,-15,-97,420576006,11.4427679930196
Mon Mar 07 18:52:53 UTC 2022,-103,-16,-68,-115,-17,-97,425105958,12.3365737751753
Mon Mar 07 18:52:56 UTC 2022,-102,-15,-69,-115,-17,-97,428804520,9.82539651873466
Mon Mar 07 18:52:59 UTC 2022,-103,-16,-68,-114,-17,-97,431662704,7.68166251737749
Mon Mar 07 18:53:02 UTC 2022,-102,-15,-70,-115,-18,-97,435421186,10.1194377739317
Mon Mar 07 18:53:05 UTC 2022,-102,-16,-71,-118,-19,-99,439269548,9.96569686594059
Mon Mar 07 18:53:08 UTC 2022,-102,-15,-69,-115,-17,-98,443014548,10.2008417966863
Mon Mar 07 18:53:11 UTC 2022,-102,-15,-69,0,0,0,446015042,8.00282552982693
Mon Mar 07 18:53:14 UTC 2022,-102,-15,-68,-115,-17,-98,450074622,11.1388016406255
Mon Mar 07 18:53:17 UTC 2022,-102,-15,-69,-118,-20,-98,453520022,9.07079000548788
Mon Mar 07 18:53:20 UTC 2022,-102,-15,-69,-115,-17,-97,456727240,8.69467961549522
Mon Mar 07 18:53:23 UTC 2022,-103,-16,-70,-114,-17,-96,460159158,9.16746592940174
Mon Mar 07 18:53:26 UTC 2022,-102,-15,-70,0,0,0,463839744,10.1068417108414
Mon Mar 07 18:53:29 UTC 2022,-102,-15,-69,0,0,0,467375024,9.26109378531442
Mon Mar 07 18:53:35 UTC 2022,-102,-16,-68,-140,-20,-97,475170616,10.4182769605233
Mon Mar 07 18:53:38 UTC 2022,-103,-16,-69,-119,-20,-98,478758326,9.59571556572902
Mon Mar 07 18:53:41 UTC 2022,-102,-16,-69,-119,-20,-98,482413446,9.97022383345022
Mon Mar 07 18:53:44 UTC 2022,-102,-16,-69,-118,-20,-97,486144964,9.90755390083718
Mon Mar 07 18:53:47 UTC 2022,-102,-16,-70,0,0,0,488594194,6.61818540000356
Mon Mar 07 18:53:50 UTC 2022,-102,-15,-70,0,0,0,490952046,6.35735852322488
Mon Mar 07 18:53:53 UTC 2022,-102,-15,-70,0,0,0,493545084,7.09122541016871
Mon Mar 07 18:53:56 UTC 2022,-102,-15,-69,0,0,0,496025772,6.651187082403
Mon Mar 07 18:53:59 UTC 2022,-102,-15,-69,0,0,0,498212852,5.95790092121615
Mon Mar 07 18:54:02 UTC 2022,-103,-16,-69,0,0,0,500701030,6.75030964423207
Mon Mar 07 18:54:05 UTC 2022,-101,-15,-69,0,0,0,502998962,6.23964305149845
Mon Mar 07 18:54:08 UTC 2022,-103,-16,-70,0,0,0,507161904,10.8700867885065
Mon Mar 07 18:54:10 UTC 2022,-102,-15,-70,0,0,0,511805704,12.4911787253738
Mon Mar 07 18:54:14 UTC 2022,-102,-14,-70,0,0,0,516683192,13.3010791437842
Mon Mar 07 18:54:16 UTC 2022,-102,-14,-71,0,0,0,521557684,13.0311874357499
Mon Mar 07 18:54:19 UTC 2022,-102,-14,-70,0,0,0,526429180,13.2066679187262
Mon Mar 07 18:54:22 UTC 2022,-102,-15,-68,-118,-19,-98,530774878,11.5802644699586
Mon Mar 07 18:54:25 UTC 2022,-102,-15,-69,0,0,0,532882564,5.64690095970927
Mon Mar 07 18:54:28 UTC 2022,-103,-16,-69,0,0,0,535137054,6.03225394200068
Mon Mar 07 18:54:31 UTC 2022,-102,-15,-71,0,0,0,537366078,6.10056557685906
Mon Mar 07 18:54:34 UTC 2022,-101,-15,-68,0,0,0,540398030,8.21935936060025
Mon Mar 07 18:54:37 UTC 2022,-102,-15,-69,0,0,0,543104916,7.3750368983637
Mon Mar 07 18:54:40 UTC 2022,-102,-15,-69,0,0,0,545633540,6.66160554149625
