Time,rsrpVal_signal_info(dBm),rsrqVal_signal_info(dB),rssilte_signal_info(dBm),snrVal_signal_info(dB),Sent Bytes,RATE(MBit/s)
Sat Aug 20 13:36:19 UTC 2022,-79,-13,-52,18.4,1146156056,40.2705772706768
Sat Aug 20 13:36:22 UTC 2022,-79,-13,-52,20.4,1158240422,32.4497057666596
Sat Aug 20 13:36:25 UTC 2022,-79,-13,-52,17.4,1173839096,42.0786986504053
Sat Aug 20 13:36:28 UTC 2022,-79,-13,-52,19,1189207078,40.9817065706355
Sat Aug 20 13:36:31 UTC 2022,-79,-13,-52,18.2,1205613174,43.4560365780602
Sat Aug 20 13:36:34 UTC 2022,-70,-8,-39,27,1220717508,36.9997992978582
Sat Aug 20 13:36:37 UTC 2022,-70,-8,-39,26,1235216650,38.8858095800336
Sat Aug 20 13:36:40 UTC 2022,-64,-8,-39,28.4,1248211800,34.0474024034112
Sat Aug 20 13:36:43 UTC 2022,-76,-13,-39,20.6,1263001554,38.4441587214109
Sat Aug 20 13:36:46 UTC 2022,-76,-13,-39,22.6,1278186780,40.7230595708002
Sat Aug 20 13:36:49 UTC 2022,-76,-13,-47,20.6,1294200400,43.0942947715827
Sat Aug 20 13:36:52 UTC 2022,-76,-13,-47,21.4,1310449206,43.7071927092791
Sat Aug 20 13:36:55 UTC 2022,-76,-8,-47,18,1326073346,37.6644693608846
Sat Aug 20 13:36:58 UTC 2022,-63,-8,-34,20.8,1340825650,38.4754856906646
Sat Aug 20 13:37:01 UTC 2022,-83,-8,-55,13.2,1356111242,41.1805463052401
Sat Aug 20 13:37:04 UTC 2022,-92,-8,-66,5.2,1368691446,33.7969948147144
Sat Aug 20 13:37:08 UTC 2022,-92,-8,-66,7.4,1378961734,27.127228625884
Sat Aug 20 13:37:11 UTC 2022,-98,-8,-66,-0.8,1385900470,17.9200121312171
Sat Aug 20 13:37:14 UTC 2022,-98,-16,-66,-4.8,1394961872,23.6938428026931
Sat Aug 20 13:37:17 UTC 2022,-98,-16,-66,4.2,1404625470,26.0634935704321
Sat Aug 20 13:37:19 UTC 2022,-98,-16,-66,0.8,1414898754,27.6442648173022
Sat Aug 20 13:37:22 UTC 2022,-98,-16,-66,3,1429384414,39.3508217194219
Sat Aug 20 13:37:26 UTC 2022,-88,-11,-60,10.4,1446606920,45.7787310115524
Sat Aug 20 13:37:29 UTC 2022,-88,-11,-60,3.4,1463146338,41.8013732148374
Sat Aug 20 13:37:32 UTC 2022,-94,-11,-60,4.6,1478915784,42.6888780217324
Sat Aug 20 13:37:35 UTC 2022,-94,-17,-60,6.2,1484050928,13.2861917110429
Sat Aug 20 13:37:38 UTC 2022,-94,-17,-41,-13.2,1499664582,42.549277024867
Sat Aug 20 13:37:41 UTC 2022,-66,-8,-41,23.4,1516272908,44.9101679895121
Sat Aug 20 13:37:44 UTC 2022,-66,-8,-41,23.8,1533478936,45.8171850664189
Sat Aug 20 13:37:47 UTC 2022,-66,-8,-41,23.2,1548885866,40.8799626395184
Sat Aug 20 13:37:50 UTC 2022,-66,-8,-41,24.4,1565594558,45.0101579645484
Sat Aug 20 13:37:53 UTC 2022,-66,-8,-41,24.6,1582914434,46.5491988440014
Sat Aug 20 13:37:56 UTC 2022,-66,-8,-41,22.6,1598850158,41.268363931549
Sat Aug 20 13:37:59 UTC 2022,-66,-8,-41,22.6,1616033716,46.5613047972925
Sat Aug 20 13:38:02 UTC 2022,-66,-8,-41,20.6,1632137216,40.3783196428948
Sat Aug 20 13:38:05 UTC 2022,-66,-8,-41,22.6,1649272838,45.3465169110642
Sat Aug 20 13:38:08 UTC 2022,-66,-8,-41,19.6,1665469214,41.9039181329828
Sat Aug 20 13:38:11 UTC 2022,-71,-8,-41,22.2,1682082034,44.8828025089061
Sat Aug 20 13:38:14 UTC 2022,-71,-8,-41,19.8,1699646084,46.9816964185845
Sat Aug 20 13:38:17 UTC 2022,-78,-8,-47,2.8,1715948818,41.0446443946632
Sat Aug 20 13:38:20 UTC 2022,-78,-8,-47,6,1732476252,44.3965321430068
Sat Aug 20 13:38:23 UTC 2022,-78,-8,-47,16.8,1749041136,44.5800679722892
Sat Aug 20 13:38:26 UTC 2022,-78,-8,-47,19,1765499662,44.0532402648938
Sat Aug 20 13:38:29 UTC 2022,-78,-8,-47,19.2,1782439046,45.7230483087552
Sat Aug 20 13:38:32 UTC 2022,-72,-8,-47,19,1799155228,44.0963162826863
Sat Aug 20 13:38:35 UTC 2022,-72,-8,-47,21.8,1815868414,44.4575224365827
Sat Aug 20 13:38:38 UTC 2022,-72,-8,-47,19.4,1832800308,45.2720960026016
Sat Aug 20 13:38:41 UTC 2022,-72,-8,-47,17.2,1849907468,45.3136353559705
Sat Aug 20 13:38:44 UTC 2022,-72,-8,-47,20.4,1866846852,44.8078235231038
Sat Aug 20 13:38:47 UTC 2022,-72,-8,-47,9.4,1883347322,43.8111803528383
Sat Aug 20 13:38:50 UTC 2022,-72,-8,-47,13.2,1900262738,45.330924821042
Sat Aug 20 13:38:53 UTC 2022,-72,-8,-47,10.4,1916884546,44.4220451538166
Sat Aug 20 13:38:56 UTC 2022,-72,-8,-47,10,1934083084,45.9250815234068
Sat Aug 20 13:38:59 UTC 2022,-72,-8,-47,11.8,1950662948,44.3172869865029
Sat Aug 20 13:39:02 UTC 2022,-72,-8,-47,7.2,1966084858,40.0821173461495
Sat Aug 20 13:39:05 UTC 2022,-83,-14,-47,-9,1981286562,40.2910985717179
Sat Aug 20 13:39:08 UTC 2022,-83,-14,-47,11.6,1997228278,43.2930886451051
Sat Aug 20 13:39:11 UTC 2022,-77,-14,-47,5.4,2013823122,44.8525659089066
Sat Aug 20 13:39:14 UTC 2022,-77,-14,-47,8.4,2031214902,44.1019269791113
Sat Aug 20 13:39:17 UTC 2022,-77,-14,-47,13.2,2047240506,40.9209515806457
Sat Aug 20 13:39:20 UTC 2022,-70,-9,-47,7.8,2063314046,42.5153489416015
Sat Aug 20 13:39:23 UTC 2022,-70,-9,-47,18.8,2079574836,43.2169247955269
Sat Aug 20 13:39:26 UTC 2022,-70,-9,-39,20.2,2095882064,43.9318151809743
Sat Aug 20 13:39:29 UTC 2022,-70,-9,-39,7.2,2111599080,40.9710307530832
Sat Aug 20 13:39:32 UTC 2022,-77,-9,-46,15.6,2128512998,45.1873597081632
Sat Aug 20 13:39:35 UTC 2022,-77,-9,-46,9.8,2144523622,40.6342482814101
Sat Aug 20 13:39:38 UTC 2022,-77,-9,-46,2,2159843668,41.318690057369
Sat Aug 20 13:39:41 UTC 2022,-77,-9,-46,14,2172444844,33.6528309222872
Sat Aug 20 13:39:44 UTC 2022,-77,-9,-46,12.2,2185001080,33.7880010703887
Sat Aug 20 13:39:47 UTC 2022,-77,-9,-46,5.4,2197689140,34.2502195515097
Sat Aug 20 13:39:50 UTC 2022,-77,-9,-52,16.2,2210076102,32.8721540235654
Sat Aug 20 13:39:53 UTC 2022,-83,-9,-52,11.6,2223062264,34.9818907602419
Sat Aug 20 13:39:56 UTC 2022,-83,-9,-52,9.4,2238776284,42.200495100014
Sat Aug 20 13:40:00 UTC 2022,-91,-9,-59,-1.8,2256290900,47.00229107782
Sat Aug 20 13:40:03 UTC 2022,-91,-9,-59,2.6,2269882254,32.0055825268201
Sat Aug 20 13:40:06 UTC 2022,-91,-15,-50,-7.4,2285395542,39.8720506823803
Sat Aug 20 13:40:09 UTC 2022,-86,-15,-50,3.2,2299995050,39.1317820500219
Sat Aug 20 13:40:12 UTC 2022,-86,-15,-50,0.2,2310019666,26.9382274245365
Sat Aug 20 13:40:15 UTC 2022,-86,-15,-50,-12.2,2326028792,43.3146121764866
Sat Aug 20 13:40:18 UTC 2022,-86,-15,-50,15.8,2342147272,42.0980988093611
Sat Aug 20 13:40:21 UTC 2022,-86,-15,-50,13.2,2359109126,44.4909777685474
Sat Aug 20 13:40:24 UTC 2022,-79,-15,-42,9.4,2374516056,39.1428678935024
Sat Aug 20 13:40:27 UTC 2022,-79,-15,-48,7.2,2389460104,40.1132284170289
Sat Aug 20 13:40:30 UTC 2022,-88,-15,-48,8.8,2404420630,40.2132365354125
Sat Aug 20 13:40:33 UTC 2022,-88,-15,-54,5.8,2421033450,44.6410211734696
Sat Aug 20 13:40:36 UTC 2022,-83,-15,-54,12.6,2434013620,32.5828998311997
Sat Aug 20 13:40:39 UTC 2022,-93,-15,-63,6.2,2447041726,35.0384785282543
Sat Aug 20 13:40:42 UTC 2022,-93,-15,-63,5.2,2459701324,34.1982851910563
Sat Aug 20 13:40:45 UTC 2022,-93,-15,-63,6.6,2469366420,26.0491999235147
Sat Aug 20 13:40:48 UTC 2022,-93,-15,-63,3.8,2479937806,28.3884493267671
Sat Aug 20 13:40:51 UTC 2022,-93,-15,-63,5.2,2489904000,25.8664080404957
Sat Aug 20 13:40:54 UTC 2022,-93,-15,-63,2.2,2499877684,26.8302214341617
Sat Aug 20 13:40:57 UTC 2022,-98,-15,-63,2.2,2509851368,26.9136692727941
Sat Aug 20 13:41:00 UTC 2022,-98,-15,-63,4,2520422754,28.5609940886363
Sat Aug 20 13:41:03 UTC 2022,-98,-15,-63,1.2,2530399434,26.8171766283876
Sat Aug 20 13:41:06 UTC 2022,-98,-15,-63,7.2,2541271918,29.2049414767902
Sat Aug 20 13:41:09 UTC 2022,-98,-15,-63,4.8,2553356284,32.402316415924
Sat Aug 20 13:41:12 UTC 2022,-98,-15,-63,6.4,2563632564,27.954941052469
Sat Aug 20 13:41:15 UTC 2022,-98,-15,-63,3.6,2574271360,28.9210063221231
Sat Aug 20 13:41:18 UTC 2022,-98,-15,-63,4.2,2585371540,29.6382467433821
Sat Aug 20 13:41:21 UTC 2022,-98,-15,-63,1,2600177772,40.0571711521526
Sat Aug 20 13:41:24 UTC 2022,-86,-15,-54,5.4,2614348852,37.2349307105722
Sat Aug 20 13:41:27 UTC 2022,-125,-125,-125,-125,2628371630,37.6021721187798
Sat Aug 20 13:41:30 UTC 2022,-95,-15,-53,10,2642431858,36.7881231517474
Sat Aug 20 13:41:33 UTC 2022,-95,-15,-62,7.8,2658318148,42.2868207209689
Sat Aug 20 13:41:36 UTC 2022,-95,-15,-62,5.2,2668882044,26.8791049636077
Sat Aug 20 13:41:39 UTC 2022,-100,-15,-62,-4.6,2680054128,29.3514940002055
Sat Aug 20 13:41:42 UTC 2022,-100,-15,-62,-4.6,2688815930,23.6504272387168
Sat Aug 20 13:41:45 UTC 2022,-100,-20,-62,-4.8,2700600696,31.0000029711672
Sat Aug 20 13:41:48 UTC 2022,-100,-20,-62,-3,2709660600,24.034838509434
Sat Aug 20 13:41:51 UTC 2022,-100,-20,-62,-3,2715399438,14.757193695839
Sat Aug 20 13:41:54 UTC 2022,-108,-20,-62,-6.6,2721738974,16.7850968009212
Sat Aug 20 13:41:57 UTC 2022,-100,-20,-62,-13.6,2728683702,17.8794293454555
Sat Aug 20 13:42:00 UTC 2022,-100,-20,-62,-13.6,2736229128,20.286626134016
Sat Aug 20 13:42:03 UTC 2022,-100,-20,-62,-6.8,2748314992,31.4103418568175
Sat Aug 20 13:42:06 UTC 2022,-94,-20,-62,-4,2758884880,28.8217316217662
Sat Aug 20 13:42:09 UTC 2022,-94,-20,-62,-4,2770662156,31.0863272257431
Sat Aug 20 13:42:12 UTC 2022,-94,-20,-62,-5,2779540802,23.9499267072582
Sat Aug 20 13:42:15 UTC 2022,-94,-14,-62,1,2789821576,27.7588235580041
Sat Aug 20 13:42:18 UTC 2022,-94,-14,-62,1,2801465530,31.3314251824015
Sat Aug 20 13:42:21 UTC 2022,-94,-14,-62,1.8,2812941708,31.0960862357814
Sat Aug 20 13:42:24 UTC 2022,-94,-14,-62,-2.8,2822299714,24.6582503294186
Sat Aug 20 13:42:27 UTC 2022,-125,-125,-125,-125,2833176692,29.0378533668333
Sat Aug 20 13:42:30 UTC 2022,-99,-14,-68,2,2841935498,23.7657576861866
Sat Aug 20 13:42:33 UTC 2022,-90,-14,-61,7.6,2848613582,18.0064280218318
Sat Aug 20 13:42:36 UTC 2022,-90,-14,-61,7.6,2853441636,13.0691055387656
Sat Aug 20 13:42:39 UTC 2022,-101,-14,-68,5.6,2857369392,10.4234289382385
Sat Aug 20 13:42:42 UTC 2022,-99,-14,-68,2.4,2867031492,25.7524073850622
Sat Aug 20 13:42:45 UTC 2022,-99,-14,-68,2.4,2874277318,19.6805340485428
Sat Aug 20 13:42:48 UTC 2022,-99,-14,-68,-1,2884544610,27.7317743184055
Sat Aug 20 13:42:51 UTC 2022,-99,-14,-68,-2,2895235836,27.9441648574328
Sat Aug 20 13:42:54 UTC 2022,-99,-14,-61,-0.2,2904908422,26.1094384299573
Sat Aug 20 13:42:57 UTC 2022,-99,-14,-61,-4,2917938026,35.2999360106228
Sat Aug 20 13:43:00 UTC 2022,-85,-14,-55,8,2930013404,32.1073586262748
Sat Aug 20 13:43:03 UTC 2022,-85,-14,-55,0.2,2942099268,30.4176215895611
Sat Aug 20 13:43:06 UTC 2022,-94,-19,-55,-6.4,2956908496,39.8564622119214
Sat Aug 20 13:43:09 UTC 2022,-86,-19,-55,1.2,2966265004,25.0456635354653
Sat Aug 20 13:43:12 UTC 2022,-86,-14,-55,5,2977732194,31.0802170145406
Sat Aug 20 13:43:15 UTC 2022,-96,-19,-55,-9.2,2994040920,43.3868593363003
Sat Aug 20 13:43:18 UTC 2022,-91,-14,-55,-1.6,3007937866,37.4583592995416
Sat Aug 20 13:43:21 UTC 2022,-100,-19,-55,-8.4,3023395728,41.9008674403407
Sat Aug 20 13:43:24 UTC 2022,-100,-19,-63,-6.6,3037286682,35.5804614772444
Sat Aug 20 13:43:27 UTC 2022,-100,-19,-63,1.8,3050647344,35.9430148628653
Sat Aug 20 13:43:30 UTC 2022,-100,-19,-63,-3.6,3058189774,19.3668151730226
Sat Aug 20 13:43:33 UTC 2022,-89,-13,-55,6.4,3067884830,26.2776379656778
Sat Aug 20 13:43:36 UTC 2022,-89,-13,-55,6.4,3077263808,25.1928537506477
Sat Aug 20 13:43:39 UTC 2022,-89,-13,-55,1.4,3086603838,24.9402299562453
Sat Aug 20 13:43:42 UTC 2022,-84,-13,-55,4.2,3097470330,29.4514391144367
Sat Aug 20 13:43:45 UTC 2022,-84,-13,-55,4.2,3113248764,42.2001291787774
Sat Aug 20 13:43:48 UTC 2022,-84,-13,-46,4,3130782854,46.2938755435145
Sat Aug 20 13:43:51 UTC 2022,-84,-13,-46,-2.6,3143891852,34.4932923366896
Sat Aug 20 13:43:54 UTC 2022,-84,-13,-46,-2.6,3154478218,28.6474013160312
Sat Aug 20 13:43:57 UTC 2022,-74,-13,-46,7.6,3165057094,28.6171618850106
Sat Aug 20 13:44:00 UTC 2022,-69,-13,-40,11.8,3176698052,30.8401710607475
Sat Aug 20 13:44:03 UTC 2022,-69,-13,-40,11.8,3187573532,27.7010096310972
Sat Aug 20 13:44:06 UTC 2022,-69,-13,-32,7.8,3199045216,31.0061083084142
