Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:42:34 UTC 2022,-92,-8,-64,0,0,0,912724078,42.15892551489446
Tue Jan 11 13:42:37 UTC 2022,-92,-8,-65,0,0,0,929172118,44.19785252910535
Tue Jan 11 13:42:40 UTC 2022,-92,-8,-59,0,0,0,945588700,42.61040042333946
Tue Jan 11 13:42:43 UTC 2022,-92,-7,-61,0,0,0,961425556,42.573644786090995
Tue Jan 11 13:42:46 UTC 2022,-92,-7,-63,0,0,0,977870600,45.03886787411645
Tue Jan 11 13:42:49 UTC 2022,-92,-7,-62,0,0,0,993129228,41.33544975913915
Tue Jan 11 13:42:52 UTC 2022,-92,-7,-65,0,0,0,1009222242,43.416085766166916
Tue Jan 11 13:42:55 UTC 2022,-92,-7,-65,0,0,0,1025719716,44.179188684323954
Tue Jan 11 13:42:58 UTC 2022,-91,-8,-64,0,0,0,1041941558,43.76502672004878
Tue Jan 11 13:43:01 UTC 2022,-92,-7,-62,0,0,0,1056651918,40.41266775868165
Tue Jan 11 13:43:04 UTC 2022,-92,-7,-63,0,0,0,1072108282,41.80939859808762
Tue Jan 11 13:43:07 UTC 2022,-92,-7,-64,0,0,0,1088959284,45.7689423542807
Tue Jan 11 13:43:10 UTC 2022,-92,-7,-65,0,0,0,1106763014,48.40767223701782
Tue Jan 11 13:43:13 UTC 2022,-91,-9,-63,0,0,0,1122890482,43.01887001770874
Tue Jan 11 13:43:16 UTC 2022,-92,-9,-65,0,0,0,1140249306,47.10607136466042
Tue Jan 11 13:43:19 UTC 2022,-92,-7,-65,0,0,0,1155605304,39.49152729612317
Tue Jan 11 13:43:22 UTC 2022,-91,-7,-65,0,0,0,1172373916,45.34449610103174
Tue Jan 11 13:43:25 UTC 2022,-92,-7,-64,0,0,0,1187831778,39.64738410309713
Tue Jan 11 13:43:28 UTC 2022,-92,-7,-64,0,0,0,1203407982,41.915798860666946
Tue Jan 11 13:43:31 UTC 2022,-91,-7,-65,0,0,0,1219587880,43.930551108792244
Tue Jan 11 13:43:34 UTC 2022,-92,-7,-61,0,0,0,1235781260,44.030852769642536
Tue Jan 11 13:43:36 UTC 2022,-92,-8,-61,0,0,0,1251992616,44.14984989774702
Tue Jan 11 13:43:39 UTC 2022,-91,-7,-63,0,0,0,1268991920,46.18122273031922
