Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Thu Aug 11 13:44:35 UTC 2022,-98,-9,-70,0,0,0,396155612,15.9378126616258,0
Thu Aug 11 13:44:38 UTC 2022,-97,-10,-67,0,0,0,402790811,17.8514692787219,0
Thu Aug 11 13:44:41 UTC 2022,-89,-9,-55,0,0,0,412562265,26.4082140975252,0
Thu Aug 11 13:44:44 UTC 2022,-94,-9,-62,0,0,0,420563461,21.7851020558905,0
Thu Aug 11 13:44:47 UTC 2022,-98,-9,-64,0,0,0,427887275,19.7789474792287,0
Thu Aug 11 13:44:50 UTC 2022,-98,-10,-71,0,0,0,435549545,20.3974997934876,0
Thu Aug 11 13:44:53 UTC 2022,-93,-10,-65,0,0,0,444867105,25.487520574441,0
Thu Aug 11 13:44:56 UTC 2022,-87,-9,-56,0,0,0,463906685,49.3001415096099,0
Thu Aug 11 13:44:59 UTC 2022,-84,-9,-53,0,0,0,484612041,56.0023904752349,0
Thu Aug 11 13:45:02 UTC 2022,-84,-9,-54,0,0,0,502937976,49.9662314183426,0
Thu Aug 11 13:45:05 UTC 2022,-79,-9,-48,0,0,0,526217235,63.1037813079473,0
Thu Aug 11 13:45:08 UTC 2022,-81,-9,-52,0,0,0,549279886,62.5759549896554,0
Thu Aug 11 13:45:11 UTC 2022,-81,-10,-49,0,0,0,572121025,62.3072120016804,0
Thu Aug 11 13:45:13 UTC 2022,-81,-9,-53,0,0,0,594302498,59.9459539671646,0
Thu Aug 11 13:45:16 UTC 2022,-85,-8,-56,0,0,0,610544416,43.9667082766882,0
Thu Aug 11 13:45:19 UTC 2022,-91,-8,-61,0,0,0,623790072,36.041128590086,0
Thu Aug 11 13:45:22 UTC 2022,-89,-8,-59,0,0,0,636731294,35.1956881640239,0
Thu Aug 11 13:45:25 UTC 2022,-92,-9,-66,0,0,0,649632070,34.9695220523525,0
Thu Aug 11 13:45:28 UTC 2022,-95,-9,-64,0,0,0,658723432,23.0772692646478,0
Thu Aug 11 13:45:31 UTC 2022,-95,-9,-68,0,0,0,667751878,24.6843841770033,0
Thu Aug 11 13:45:34 UTC 2022,-98,-9,-69,0,0,0,674450934,18.218447433985,0
Thu Aug 11 13:45:37 UTC 2022,-99,-10,-70,0,0,0,680520830,16.505932803312,0
Thu Aug 11 13:45:40 UTC 2022,-100,-10,-68,0,0,0,684779644,11.0709810992308,0
Thu Aug 11 13:45:43 UTC 2022,-99,-9,-69,0,0,0,689005502,11.4786961772352,0
Thu Aug 11 13:45:46 UTC 2022,-100,-10,-68,0,0,0,694143642,13.9946044309955,0
Thu Aug 11 13:45:49 UTC 2022,-102,-11,-68,0,0,0,698022540,10.4318424594059,0
Thu Aug 11 13:45:52 UTC 2022,-101,-11,-70,0,0,0,701833452,10.3131225999566,0
Thu Aug 11 13:45:55 UTC 2022,-103,-11,-70,0,0,0,706068350,10.8544262371215,0
Thu Aug 11 13:45:58 UTC 2022,-101,-10,-71,0,0,0,709906483,10.3881385234372,0
Thu Aug 11 13:46:01 UTC 2022,-101,-10,-71,0,0,0,713405811,9.50008265437438,0
Thu Aug 11 13:46:04 UTC 2022,-102,-11,-68,0,0,0,717207735,10.2330444276128,0
Thu Aug 11 13:46:07 UTC 2022,-103,-11,-70,0,0,0,721360191,10.8296970460787,0
Thu Aug 11 13:46:10 UTC 2022,-98,-10,-67,0,0,0,725747833,11.8886440959684,0
Thu Aug 11 13:46:13 UTC 2022,-96,-9,-69,0,0,0,731703881,16.1999167526549,0
Thu Aug 11 13:46:16 UTC 2022,-96,-9,-66,0,0,0,736981335,14.1456973693921,0
Thu Aug 11 13:46:19 UTC 2022,-97,-9,-62,0,0,0,741813935,13.0876645419091,0
Thu Aug 11 13:46:22 UTC 2022,-98,-10,-68,0,0,0,746695969,13.3573505323228,0
Thu Aug 11 13:46:25 UTC 2022,-96,-9,-63,0,0,0,754683409,21.7125071214627,0
Thu Aug 11 13:46:28 UTC 2022,-95,-8,-63,0,0,0,760970515,16.6956316020588,0
Thu Aug 11 13:46:31 UTC 2022,-101,-10,-74,0,0,0,765630793,12.6038105331005,0
Thu Aug 11 13:46:34 UTC 2022,-108,-13,-75,0,0,0,768568371,7.79854869165699,0
Thu Aug 11 13:46:37 UTC 2022,-112,-18,-73,0,0,0,769948029,3.74245269281905,0
Thu Aug 11 13:46:40 UTC 2022,-111,-18,-70,0,0,0,771073027,2.9866673673976,0
Thu Aug 11 13:46:43 UTC 2022,-111,-19,-70,0,0,0,772921559,5.03432405051424,0
Thu Aug 11 13:46:46 UTC 2022,-105,-15,-69,0,0,0,777080007,11.264970231888,0
Thu Aug 11 13:46:49 UTC 2022,-105,-15,-70,0,0,0,781907120,13.1694922742489,0
Thu Aug 11 13:46:52 UTC 2022,-105,-15,-69,0,0,0,787572556,15.050682458946,0
Thu Aug 11 13:46:55 UTC 2022,-106,-15,-70,0,0,0,792456036,13.1991936908345,0
Thu Aug 11 13:46:58 UTC 2022,-105,-14,-72,0,0,0,796746308,11.7188620553674,0
Thu Aug 11 13:47:01 UTC 2022,-106,-15,-70,0,0,0,801399096,12.6154950587117,0
Thu Aug 11 13:47:04 UTC 2022,-105,-14,-70,0,0,0,807045058,15.3846104378972,0
Thu Aug 11 13:47:07 UTC 2022,-106,-15,-70,0,0,0,812020960,12.9380305666164,0
Thu Aug 11 13:47:09 UTC 2022,-105,-15,-70,0,0,0,818016060,16.1080133230195,0
Thu Aug 11 13:47:12 UTC 2022,-105,-15,-69,0,0,0,824601320,17.9100011786307,0
Thu Aug 11 13:47:15 UTC 2022,-105,-14,-71,0,0,0,831277906,18.1733077758148,0
Thu Aug 11 13:47:18 UTC 2022,-105,-14,-68,0,0,0,837278894,16.0371302665842,0
Thu Aug 11 13:47:21 UTC 2022,-105,-15,-70,0,0,0,842566834,14.3170901865104,0
Thu Aug 11 13:47:24 UTC 2022,-105,-15,-70,0,0,0,848552842,16.3878038110846,0
Thu Aug 11 13:47:27 UTC 2022,-105,-15,-70,0,0,0,854803996,16.9006515574291,0
Thu Aug 11 13:47:30 UTC 2022,-105,-15,-68,0,0,0,861804150,18.8191145003509,0
Thu Aug 11 13:47:33 UTC 2022,-105,-15,-69,0,0,0,868730902,18.4723167204202,0
Thu Aug 11 13:47:36 UTC 2022,-104,-15,-64,0,0,0,873630860,13.3168161137253,0
Thu Aug 11 13:47:39 UTC 2022,-104,-15,-69,0,0,0,876698764,8.35956039863845,0
Thu Aug 11 13:47:42 UTC 2022,-107,-19,-71,0,0,0,878974226,6.11379015114373,0
Thu Aug 11 13:47:45 UTC 2022,-106,-16,-66,0,0,0,882470558,9.44051133513679,0
Thu Aug 11 13:47:48 UTC 2022,-111,-18,-74,0,0,0,886160132,10.0816453405404,0
Thu Aug 11 13:47:51 UTC 2022,-107,-17,-70,0,0,0,889638488,9.06020063644712,0
Thu Aug 11 13:47:54 UTC 2022,-108,-16,-70,0,0,0,892817244,8.60752669274215,0
Thu Aug 11 13:47:57 UTC 2022,-109,-17,-70,0,0,0,895470202,7.24828508380567,0
Thu Aug 11 13:48:00 UTC 2022,-106,-15,-68,0,0,0,898352354,7.82127612072717,0
Thu Aug 11 13:48:03 UTC 2022,-105,-14,-68,0,0,0,901790264,8.91269274729627,0
Thu Aug 11 13:48:06 UTC 2022,-107,-15,-71,0,0,0,904856722,8.39605477562992,0
Thu Aug 11 13:48:09 UTC 2022,-107,-17,-70,0,0,0,907484214,7.12280413716713,0
Thu Aug 11 13:48:12 UTC 2022,-97,-11,-66,0,0,0,913853762,17.2452771264457,0
Thu Aug 11 13:48:15 UTC 2022,-97,-10,-64,0,0,0,924880540,30.0676945288329,0
Thu Aug 11 13:48:18 UTC 2022,-98,-12,-69,0,0,0,930619378,15.2782569293509,0
Thu Aug 11 13:48:21 UTC 2022,-99,-11,-66,0,0,0,936214408,15.0519076830953,0
Thu Aug 11 13:48:24 UTC 2022,-98,-10,-70,0,0,0,946730368,28.6010037894442,0
Thu Aug 11 13:48:27 UTC 2022,-98,-10,-65,0,0,0,955904120,24.8788030424902,0
Thu Aug 11 13:48:30 UTC 2022,-97,-10,-67,0,0,0,964676408,23.0299122718802,0
Thu Aug 11 13:48:33 UTC 2022,-97,-10,-67,0,0,0,974119800,25.4067743977748,0
Thu Aug 11 13:48:36 UTC 2022,-93,-8,-62,0,0,0,985606464,30.9118338479313,0
Thu Aug 11 13:48:38 UTC 2022,-99,-10,-69,0,0,0,995743430,27.5074768488924,0
Thu Aug 11 13:48:42 UTC 2022,-101,-11,-70,0,0,0,1002767552,19.0766124691807,0
Thu Aug 11 13:48:45 UTC 2022,-98,-10,-65,0,0,0,1009427660,16.9386062336159,0
Thu Aug 11 13:48:48 UTC 2022,-94,-10,-65,0,0,0,1020987726,31.158795574982,0
Thu Aug 11 13:48:51 UTC 2022,-96,-10,-62,0,0,0,1028946600,21.5324140043026,0
Thu Aug 11 13:48:53 UTC 2022,-99,-11,-68,0,0,0,1038334566,25.4177218925509,0
Thu Aug 11 13:48:56 UTC 2022,-98,-12,-64,0,0,0,1047923264,25.9859946592526,0
Thu Aug 11 13:48:59 UTC 2022,-101,-14,-63,0,0,0,1057733666,26.6542801251217,0
Thu Aug 11 13:49:02 UTC 2022,-99,-15,-62,0,0,0,1067544068,25.9364094381723,0
Thu Aug 11 13:49:05 UTC 2022,-110,-20,-69,0,0,0,1072581842,13.6665015533358,0
Thu Aug 11 13:49:08 UTC 2022,-101,-14,-66,0,0,0,1079674924,19.0038841971127,0
Thu Aug 11 13:49:11 UTC 2022,-94,-12,-60,0,0,0,1091545128,32.1903474573845,0
Thu Aug 11 13:49:14 UTC 2022,-104,-14,-69,0,0,0,1099565472,21.4400783738656,0
Thu Aug 11 13:49:17 UTC 2022,-107,-15,-69,0,0,0,1102583942,8.20567213120464,0
Thu Aug 11 13:49:20 UTC 2022,-111,-18,-72,0,0,0,1105316294,7.41812424518741,0
Thu Aug 11 13:49:23 UTC 2022,-99,-10,-67,0,0,0,1109188624,10.2992630799773,0
Thu Aug 11 13:49:26 UTC 2022,-95,-10,-63,0,0,0,1114467576,14.1174377533171,0
Thu Aug 11 13:49:29 UTC 2022,-98,-10,-67,0,0,0,1120049124,15.2417780753427,0
Thu Aug 11 13:49:32 UTC 2022,-98,-10,-71,0,0,0,1125299614,14.2576644009957,0
Thu Aug 11 13:49:35 UTC 2022,-99,-10,-69,0,0,0,1132876498,20.6406310327337,0
Thu Aug 11 13:49:38 UTC 2022,-100,-10,-70,0,0,0,1141286270,22.8368548397437,0
Thu Aug 11 13:49:41 UTC 2022,-100,-10,-68,0,0,0,1149708026,21.8110237023677,0
